customer_id,customer_name,city,contact_phone,email
54,Freeport-McMoRan,Финикс,89258401525,freeport-mcmoran@qq.com
55,Vale S.A.,Рио-де-Жанейро,8 (245) 040-83-31,vales.a.@hushmail.com
56,Anglo American,Лондон,+7 (474) 220-7036,angloamerican@yahoo.com
57,Barrick Gold,Торонто,8 862 075 52 02,barrickgold@gmx.com
58,Newmont Corporation,Денвер,8 961 373 46 62,newmontcorporation@yahoo.com
59,Fluor Corporation,Ирвинг,8 (248) 553-9858,fluorcorporation@hushmail.com
60,Bechtel,Рестон,8 (095) 253-4959,bechtel@outlook.com
61,Jacobs Engineering,Даллас,8 098 445 6739,jacobsengineering@rediffmail.com
62,AECOM,Лос-Анджелес,+72897122192,aecom@mail.com
63,KBR,Хьюстон,8 (674) 885-2478,kbr@sina.com
64,McDermott International,Хьюстон,8 583 978 35 42,mcdermottinternational@mail.com
65,TechnipFMC,Лондон,+77512901488,technipfmc@outlook.com
66,Saipem,Сан-Донато-Миланезе,+7 (908) 481-77-66,saipem@yahoo.com
67,Subsea 7,Лондон,+7 476 538 5474,subsea7@yahoo.com
68,Weatherford International,Хьюстон,+7 (800) 963-1003,weatherfordinternational@gmx.com
69,NOV (National Oilwell Varco),Хьюстон,+7 978 679 0861,nov(nationaloilwellvarco)@aol.com
70,Mapal,Аален,+7 (490) 460-50-51,mapal@yandex.ru
71,Guhring,Альбштадт,+7 (207) 341-1294,guhring@rediffmail.com
72,Mitsubishi Materials,Токио,+7 (982) 913-46-97,mitsubishimaterials@yandex.ru
73,Sumitomo Electric Hardmetal,Осака,8 (724) 133-8346,sumitomoelectrichardmetal@rediffmail.com
74,Kyocera,Киото,80515675860,kyocera@yandex.ru
75,Ceratizit,Маммер,+7 109 792 5989,ceratizit@sina.com
76,Plansee Group,Ройтте,+7 (661) 083-06-02,planseegroup@qq.com
77,Hitachi Metals,Токио,88886284993,hitachimetals@hushmail.com
78,Daido Steel,Нагоя,8 (655) 867-4291,daidosteel@icloud.com
79,Nippon Steel & Sumitomo Metal,Токио,+7 (577) 153-6478,nipponsteel&sumitomometal@aol.com
80,JFE Steel,Токио,8 (611) 505-3807,jfesteel@qq.com
81,Kobe Steel,Кобе,87030858826,kobesteel@tutanota.com
82,Aichi Steel,Токай,82222180978,aichisteel@gmx.com
83,Sanyo Special Steel,Химэдзи,+7 (960) 220-57-32,sanyospecialsteel@gmail.com
84,Ovako,Стокгольм,+7 (857) 969-5454,ovako@aol.com
85,Uddeholm,Хагфорс,86203916431,uddeholm@hushmail.com
86,Böhler,Капфенберг,+79617117573,böhler@163.com
87,Carpenter Technology,Рединг,+7 857 547 80 79,carpentertechnology@gmail.com
88,Allegheny Technologies,Питтсбург,+7 (404) 383-1618,alleghenytechnologies@mail.com
89,Haynes International,Кокомо,+7 899 841 41 69,haynesinternational@yahoo.com
90,Special Metals Corporation,Хантингтон,+7 249 761 51 40,specialmetalscorporation@rediffmail.com
91,VDM Metals,Вердоль,8 473 424 71 75,vdmmetals@hushmail.com
92,Outokumpu Stainless,Эспоо,8 192 275 2320,outokumpustainless@tutanota.com
93,Steel Dynamics,Форт-Уэйн,+7 (013) 812-1007,steeldynamics@outlook.com
94,AK Steel,Уэст-Честер,+7 (649) 604-1606,aksteel@mail.ru
95,U.S. Steel,Питтсбург,8 034 490 01 17,u.s.steel@hushmail.com
96,Cleveland-Cliffs,Кливленд,8 752 906 72 51,cleveland-cliffs@hotmail.com
97,CSN (Companhia Siderúrgica Nacional),Сан-Паулу,+7 (855) 676-90-57,csn(companhiasiderúrgicanacional)@naver.com
98,Usiminas,Белу-Оризонти,8 506 313 0359,usiminas@mail.com
99,Ternium,Сан-Николас-де-лос-Гарса,83073311808,ternium@sina.com
100,Techint Group,Милан,+7 (761) 790-17-57,techintgroup@sina.com
101,Tenova,Милан,8 (620) 440-60-89,tenova@gmx.com
102,Danieli,Буттрио,+7 (081) 415-0714,danieli@qq.com
103,SMS Group,Дюссельдорф,8 133 544 69 09,smsgroup@mail.ru
104,Primetals Technologies,Лондон,8 (636) 935-82-22,primetalstechnologies@fastmail.com
105,Andritz,Грац,8 (354) 866-8130,andritz@icloud.com
106,Loesche,Дюссельдорф,+7 926 839 9694,loesche@mail.com
107,Gebr. Pfeiffer,Кайзерслаутерн,8 (362) 256-10-54,gebr.pfeiffer@hotmail.com
108,Polysius,Эссен,+7 (499) 586-67-38,polysius@gmail.com
109,Claudius Peters,Гамбург,+7 789 698 9170,claudiuspeters@sina.com
110,Schenck Process,Дармштадт,+7 (480) 695-7949,schenckprocess@mail.ru
111,Bühler Group,Уцвиль,80201067259,bühlergroup@naver.com
112,GEA Group,Дюссельдорф,8 712 322 1769,geagroup@mail.ru
113,ITT Inc.,Уайт-Плейнс,+7 (993) 564-22-92,ittinc.@mail.com
114,Kaeser Kompressoren,Кобург,8 (341) 855-96-57,kaeserkompressoren@tutanota.com
115,Hitachi Construction Machinery,Токио,81545807612,hitachiconstructionmachinery@outlook.com
116,Kobelco,Токио,8 (656) 839-0939,kobelco@yahoo.com
117,JCB,Рочестер,8 823 486 1756,jcb@outlook.com
118,CASE Construction,Расин,8 850 353 89 28,caseconstruction@naver.com
119,New Holland,Турин,+7 980 941 70 80,newholland@gmail.com
120,Terex,Норуолк,+72162478299,terex@zoho.com
121,Manitowoc,Манитовок,86711013203,manitowoc@163.com
122,Tadano,Такамацу,+7 317 050 0756,tadano@fastmail.com
123,Sennebogen,Штраубинг,+74914242942,sennebogen@tutanota.com
124,Palfinger,Зальцбург,8 (409) 129-5786,palfinger@outlook.com
125,Haulotte,Лорм,8 049 466 2826,haulotte@rediffmail.com
126,JLG Industries,Хейгерстаун,+78019117115,jlgindustries@hotmail.com
127,Genie (Terex),Редмонд,8 (841) 986-87-78,genie(terex)@protonmail.com
128,Skyjack,Гвелф,8 (452) 524-65-18,skyjack@hotmail.com
129,Manitou Group,Ансени,83312324531,manitougroup@gmail.com
130,Doosan Infracore,Сеул,8 875 933 5000,doosaninfracore@protonmail.com
131,Hyundai Construction Equipment,Сеул,+7 (570) 888-2030,hyundaiconstructionequipment@163.com
132,Sany Heavy Industry,Чанша,+7 (701) 605-46-06,sanyheavyindustry@qq.com
133,Zoomlion,Чанша,8 622 022 62 19,zoomlion@sina.com
134,XCMG,Сюйчжоу,8 (315) 424-47-52,xcmg@gmail.com
135,Liugong,Лючжоу,+7 (346) 763-68-22,liugong@zoho.com
136,Lonking,Шанхай,8 291 857 96 90,lonking@mail.com
137,Shantui,Цзинин,8 832 340 7663,shantui@gmx.com
138,SDLG,Линьи,+7 (083) 622-2862,sdlg@aol.com
139,Yutong Heavy Industries,Чжэнчжоу,8 799 650 43 82,yutongheavyindustries@yahoo.com
140,Sinotruk,Цзинань,+7 (472) 013-85-70,sinotruk@naver.com
141,FAW,Чанчунь,+7 (593) 695-2039,faw@zoho.com
142,Dongfeng Motor,Ухань,+7 031 662 9838,dongfengmotor@outlook.com
143,Shaanxi Heavy Duty Automobile,Сиань,8 (173) 443-0926,shaanxiheavydutyautomobile@gmail.com
144,Beiben Trucks,Чунцин,86350042085,beibentrucks@yahoo.com
145,Iveco,Турин,8 789 312 0323,iveco@gmail.com
146,Volvo Trucks,Гетеборг,+7 (576) 309-5208,volvotrucks@mail.ru
147,DAF Trucks,Эйндховен,8 198 254 1635,daftrucks@rediffmail.com
148,Renault Trucks,Сен-Приест,8 469 942 57 15,renaulttrucks@mail.com
149,Mercedes-Benz Trucks,Штутгарт,8 637 244 7137,mercedes-benztrucks@yandex.ru
150,Freightliner,Портленд,+7 (810) 073-3541,freightliner@yahoo.com
151,Western Star,Портленд,8 (913) 422-7938,westernstar@163.com
152,Kenworth,Киркланд,8 926 274 24 83,kenworth@gmail.com
153,Peterbilt,Дентон,80663988709,peterbilt@yahoo.com
154,Mack Trucks,Гринсборо,8 (824) 954-8154,macktrucks@163.com
155,Navistar International,Лайл,8 595 936 8363,navistarinternational@rediffmail.com
156,Hino Motors,Токио,+7 968 382 92 90,hinomotors@naver.com
157,Isuzu Motors,Токио,8 865 524 9694,isuzumotors@tutanota.com
158,UD Trucks,Агео,+7 (852) 780-8416,udtrucks@163.com
159,Fuso,Кавасаки,+7 391 724 95 32,fuso@hushmail.com
160,Tata Motors,Мумбаи,83107593745,tatamotors@163.com
161,Ashok Leyland,Ченнаи,8 088 557 5209,ashokleyland@mail.com
162,Eicher Motors,Гургаон,+78616648324,eichermotors@tutanota.com
163,Mahindra Truck and Bus,Мумбаи,8 (929) 008-43-80,mahindratruckandbus@tutanota.com
164,Kamaz,Набережные Челны,+7 520 950 86 24,kamaz@sina.com
165,GAZ Group,Нижний Новгород,+7 (898) 331-8138,gazgroup@outlook.com
166,KAMAZ,Набережные Челны,8 603 213 9439,kamaz@mail.ru
167,MAZ,Минск,8 717 879 04 16,maz@gmail.com
168,KrAZ,Кременчуг,88612136686,kraz@fastmail.com
169,BelAZ,Жодино,+79926132992,belaz@hotmail.com
170,Scania-Vabis,Седертелье,8 303 533 3206,scania-vabis@outlook.com
171,Van Hool,Конингсхойкт,+7 695 749 0864,vanhool@yahoo.com
172,VDL Groep,Эйндховен,+73743927457,vdlgroep@rediffmail.com
173,Daimler Buses,Штутгарт,8 (045) 084-9397,daimlerbuses@fastmail.com
174,Volvo Buses,Гетеборг,+7 (075) 373-6115,volvobuses@163.com
175,Irizar,Ормайстеги,8 929 050 6179,irizar@gmx.com
176,Solaris Bus & Coach,Болехово,+7 347 642 8392,solarisbus&coach@mail.com
177,MAN Bus,Мюнхен,+73900092821,manbus@fastmail.com
178,Neoplan,Штутгарт,8 300 448 17 44,neoplan@sina.com
179,Setra,Ульм,8 (878) 456-58-40,setra@gmx.com
180,Marcopolo,Кашиас-ду-Сул,+77135198987,marcopolo@tutanota.com
181,Caio Induscar,Сан-Паулу,+7 131 601 38 92,caioinduscar@aol.com
182,Comil,Эрешин,8 (274) 677-8613,comil@aol.com
183,Agrale,Кашиас-ду-Сул,+7 091 228 3577,agrale@naver.com
184,Tatra,Копрживнице,8 (755) 328-2643,tatra@fastmail.com
185,Avtotor,Калининград,81067394959,avtotor@outlook.com
186,Sollers,Москва,+7 741 994 14 66,sollers@mail.ru
187,UAZ,Ульяновск,+7 (275) 691-10-27,uaz@hushmail.com
188,ZIL,Москва,8 (139) 697-24-14,zil@mail.ru
189,KAMAZ,Набережные Челны,8 160 106 50 10,kamaz@naver.com
190,BAZ,Брянск,+7 290 115 41 23,baz@163.com
191,ZiL,Москва,8 103 154 9623,zil@naver.com
192,AMO ZIL,Москва,+73416205016,amozil@163.com
193,UralAZ,Миасс,8 281 942 1032,uralaz@qq.com
194,KAvZ,Курган,8 824 461 9706,kavz@mail.ru
195,PAZ,Павлово,+7 753 609 57 50,paz@rediffmail.com
196,LiAZ,Ликино-Дулево,8 (376) 979-95-48,liaz@protonmail.com
197,NefAZ,Нефтекамск,+7 (304) 146-9850,nefaz@gmx.com
198,MAZ,Минск,+77725671612,maz@icloud.com
199,BelAZ,Жодино,+78572508358,belaz@rediffmail.com
200,MoAZ,Могилев,86927060357,moaz@gmx.com
201,KrAZ,Кременчуг,+7 881 850 1603,kraz@hotmail.com
202,LAZ,Львов,8 (105) 548-34-94,laz@sina.com
203,Bogdan,Черкассы,+73099771655,bogdan@gmail.com
204,Etalon,Москва,8 (656) 947-4848,etalon@naver.com
205,Volkswagen Commercial Vehicles,Ганновер,+7 510 796 21 64,volkswagencommercialvehicles@fastmail.com
206,Ford Trucks,Стамбул,+7 473 105 96 34,fordtrucks@aol.com
207,Iveco Defence Vehicles,Больцано,8 (808) 682-57-43,ivecodefencevehicles@naver.com
208,Oshkosh Corporation,Ошкош,+7 (279) 548-81-75,oshkoshcorporation@hotmail.com
209,Navistar Defense,Уоррен,+7 148 583 91 86,navistardefense@fastmail.com
210,Rheinmetall MAN Military Vehicles,Мюнхен,82001701819,rheinmetallmanmilitaryvehicles@yandex.ru
211,BAE Systems Land & Armaments,Стерлинг-Хайтс,8 (606) 045-24-18,baesystemsland&armaments@sina.com
212,General Dynamics Land Systems,Лондон,+7 852 242 2683,generaldynamicslandsystems@naver.com
213,Textron Marine & Land Systems,Новый Орлеан,8 715 832 3844,textronmarine&landsystems@fastmail.com
214,Patria,Хельсинки,+7 (451) 724-2118,patria@rediffmail.com
215,Nexter Systems,Версаль,+72375176915,nextersystems@qq.com
216,Krauss-Maffei Wegmann,Мюнхен,+7 682 444 1196,krauss-maffeiwegmann@rediffmail.com
217,Hyundai Rotem,Чханвон,+7 (013) 891-5683,hyundairotem@yandex.ru
218,Doosan DST,Сеул,+7 381 868 8645,doosandst@fastmail.com
219,Hanwha Defense,Сеул,8 (468) 045-4263,hanwhadefense@mail.ru
220,Norinco,Пекин,+7 (365) 278-6709,norinco@fastmail.com
221,Sinomach,Пекин,8 (620) 133-41-90,sinomach@zoho.com
222,China North Industries Group,Пекин,+7 122 717 7861,chinanorthindustriesgroup@zoho.com
